Change in Price/SqFt,1/Square Feet,Number Baths,Distance,Location,Type of Home,Price,Price/SqFt,Square Feet
-4.914,0.00069444,1.5,0.5,City,Connected,220600,153.194444,1440
0.958,0.00022676,4,2.8,Suburb,Detached,904700,205.147392,4410
-14.866,0.00063291,2,0,City,Connected,263400,166.708861,1580
-12.141,0.00088496,2.5,1.6,Suburb,Connected,220600,195.221239,1130
-44.253,0.00068027,2.5,0.5,City,Connected,245700,167.142857,1470
-51.557,0.00054945,2.5,5.2,Suburb,Connected,352200,193.516484,1820
3.747,0.00024155,3.5,3.1,Rural,Detached,630800,152.36715,4140
-13.222,0.00028249,3,1.4,Rural,Detached,551600,155.819209,3540
-4.793,0.00029499,3,1.8,Suburb,Detached,705700,208.171091,3390
-45.13,0.0006993,1.5,1.1,Suburb,Connected,250800,175.384615,1430
-17.482,0.00048544,2.5,0.8,City,Connected,306900,148.980583,2060
-2.051,0.00030395,3.5,2,Suburb,Detached,688200,209.179331,3290
-0.416,0.00037313,2.5,2.2,Suburb,Detached,536900,200.335821,2680
11.22,0.00027855,4,1.2,Rural,Detached,564800,157.325905,3590
-27.014,0.00070922,2,0.1,City,Connected,243700,172.836879,1410
-50.285,0.00062112,1.5,2.1,Suburb,Connected,283800,176.273292,1610
7.108,0.0003663,2.5,2.5,Suburb,Detached,553700,202.820513,2730
15.258,0.00028169,2.5,1.1,Rural,Detached,548700,154.56338,3550
-28.146,0.0004902,2,1.4,Suburb,Connected,371900,182.303922,2040
5.041,0.00014514,3,6.5,Rural,Detached,1032800,149.898403,6890
-4.726,0.00029155,4,2,Suburb,Detached,722100,210.524781,3430
-7.501,0.00016779,4,6.4,Rural,Detached,894300,150.050336,5960
-35.811,0.00080645,2,3.6,Suburb,Connected,257500,207.66129,1240
-10.642,0.0005,4,3.6,Rural,Detached,322800,161.4,2000
-5.374,0.00038462,2.5,1,Suburb,Detached,544800,209.538462,2600
-29.556,0.00045872,1.5,1.4,City,Connected,334000,153.211009,2180
-12.879,0.00024938,3,4.4,Rural,Detached,616900,153.840399,4010
-7.86,0.00018484,3.5,6,Rural,Detached,817800,151.16451,5410
0.322,0.00031546,2.5,8,Rural,Detached,485500,153.154574,3170
7.213,0.00025316,2.5,5.6,Rural,Detached,602400,152.506329,3950
9.12,0.00027397,3.5,7.2,Rural,Detached,551800,151.178082,3650
-32.377,0.00034247,2,1.1,Suburb,Connected,524400,179.589041,2920
-6.198,0.00044444,2,0.6,City,Connected,362600,161.155556,2250
-47.536,0.00045249,1.5,0.9,City,Connected,352700,159.59276,2210
-43.751,0.00064935,2,2.2,Suburb,Connected,280200,181.948052,1540
-33.833,0.00081967,1.5,1.5,Suburb,Connected,227500,186.47541,1220
-13.84,0.00030769,2.5,9,Rural,Detached,493900,151.969231,3250
11.206,0.00030211,4,7.7,Rural,Detached,508100,153.504532,3310
-4.55,0.00033333,3,2.9,Rural,Detached,459600,153.2,3000
